sample.ID,Group,Am,AQY,Rd,Ik,Date,Plate,sample.ID.PAM
ETR1,G1,67.47122783,0.28513526,-0.627053103,236.6288468,20240523,Plate1,20240523_Plate1_ETR1
ETR2,G1,63.79226784,0.283227113,-0.67895251,225.2336197,20240523,Plate1,20240523_Plate1_ETR2
ETR3,G1,57.15133822,0.091254513,-3.326196932,626.2850641,20240523,Plate1,20240523_Plate1_ETR3
ETR4,G1,29.91037588,0.133699811,-1.553844976,223.7129249,20240523,Plate1,20240523_Plate1_ETR4
ETR5,G2,93.11637048,0.2970697,1.190693822,313.4495726,20240523,Plate1,20240523_Plate1_ETR5
ETR6,G2,110.5152003,0.248833636,-0.122868966,444.1328839,20240523,Plate1,20240523_Plate1_ETR6
ETR7,G2,80.5464965,0.268380021,0.379267143,300.1210608,20240523,Plate1,20240523_Plate1_ETR7
ETR8,G2,114.1392282,0.263564143,0.299723562,433.0605326,20240523,Plate1,20240523_Plate1_ETR8
ETR9,G2,77.55480114,0.246678399,-0.186932521,314.3964018,20240523,Plate1,20240523_Plate1_ETR9
